gene_id	baseMean	log2FoldChange	lfcSE	pvalue	padj	gene_name	-log10(padj)	DE_status	is_translocated
ENSG00000154263.18	199.273808228486	-3.82160927120358	0.213572249269432	3.2354151856429197e-72	3.60901347156859e-71	ABCA10	70.44261149682191	Down	True
ENSG00000108342.13	3015.56166760269	-3.81042822565021	0.0704311526784092	0.0	1e-300	CSF3	300.0	Down	True
ENSG00000065320.9	13.5088628690852	-3.80182127710771	1.32396861805732	0.0003885179238888	0.0007551245673461	NTN1	3.1219814000944655	Down	True
ENSG00000122862.5	114.305288648565	-3.79133780605166	0.390508776839581	1.23900168467486e-22	5.31525637715354e-22	SRGN	21.27447578278739	Down	True
ENSG00000167562.14	95.3532982358246	-3.72100353636092	0.311576488371081	1.3885502395834699e-33	7.70658956284949e-33	ZNF701	32.11313777003127	Down	True
ENSG00000166924.9	4.82956648991114	-3.68279512814299	1.49523648690247	0.0010554258867431	0.0019723341819982	NYAP1	2.7050194985724176	Down	True
ENSG00000078114.19	802.399984579294	-3.64757411213222	0.139305671593899	1.05596631867306e-151	3.29876905961263e-150	NEBL	149.4816480875	Down	True
ENSG00000197444.10	11.147132206149	-3.55299139765647	0.914406409577786	3.12703781068889e-05	6.64093470343701e-05	OGDHL	4.1777707899127	Down	True
ENSG00000154258.17	7.32445047360039	-3.53102571397872	1.37028244580606	0.0009423300554239	0.0017686989990688	ABCA9	2.752346069954154	Down	True
ENSG00000006468.15	494.996054292803	-3.48287202489597	0.150275619248429	1.31148560447012e-119	2.8178949444769e-118	ETV1	117.5500752021012	Down	True
ENSG00000188916.9	2.25026342952181	-3.45245894647368	2.74081106406795	0.0063456664932035	0.0108882163589564	INSYN2A	1.9630432578848744	Down	True
ENSG00000083814.13	6.2172283674491	-3.43297457284155	1.19427040420257	0.0008304446137319	0.0015664640882446	ZNF671	2.8050795570261187	Down	True
ENSG00000267710.9	2.19332139108124	-3.37371954039519	2.80454211346993	0.0071914608927835	0.0122598159687741	EDDM13	1.9115160489322667	Down	True
ENSG00000131094.4	16.6514672358728	-3.36292408818297	0.656924453253173	7.097984532594e-08	1.77145413977739e-07	C1QL1	6.751670086401323	Down	True
ENSG00000180535.4	4.35651893112357	-3.33851294700156	1.55449992473551	0.0024374115943694	0.0043829021947525	BHLHA15	2.3582382205970607	Down	True
ENSG00000145040.4	21.9263459515798	-3.30913965388577	0.598643358649044	8.3909458270768e-09	2.20640003101472e-08	UCN2	7.656315745063475	Down	True
ENSG00000105928.16	1791.02692402896	-3.30657042585246	0.0905285154078223	4.8358613827607403e-293	4.9249886934474904e-291	GSDME	290.30759476219765	Down	True
ENSG00000187672.15	22.6993556509445	-3.27012481698782	0.581104151105669	3.6819003101178503e-09	9.85035197821728e-09	ERC2	8.006548250774834	Down	True
ENSG00000128581.17	537.626099935115	-3.24531117484621	0.142008252820281	2.31704418867418e-116	4.72797758930631e-115	IFT22	114.32532459068511	Down	True
ENSG00000157240.4	273.855001064439	-3.2401574131869	0.214268158868413	2.18553049256125e-52	1.75763395950986e-51	FZD1	50.75507156493753	Down	True
ENSG00000181523.13	326.779477195121	-3.23720104469141	0.147133700789329	7.0612818167583e-108	1.30699895142948e-106	SGSH	105.88372476084224	Down	True
ENSG00000065621.15	795.194154391087	-3.19987682976112	0.125156395938845	5.3542302272175206e-145	1.53535255922143e-143	GSTO2	142.81379188276438	Down	True
ENSG00000165449.12	68.1493436795705	-3.19748528457645	0.370641961056961	1.6769582036074399e-18	6.3966069469480194e-18	SLC16A9	17.19405033460618	Down	True
ENSG00000129195.16	1027.98106360209	-3.18844894097129	0.105533980759683	5.688868964938861e-201	2.8584049350160702e-199	PIMREG	198.5438762469986	Down	True
ENSG00000188624.3	4.25799973874088	-3.17313188599759	2.37537107222475	0.0058829433992371	0.0101348348281934	IGFL3	1.9941833247991623	Down	True
ENSG00000138160.7	5911.88870082714	-3.15936196912415	0.0723290663153483	0.0	1e-300	KIF11	300.0	Down	True
ENSG00000128536.16	20.9952999774003	-3.11616787023553	0.723632178878604	4.74070220176891e-06	1.06695161732607e-05	CDHR3	4.971855273925783	Down	True
ENSG00000154240.18	203.096087526807	-3.11408590812054	0.213261223805913	5.73166400499064e-49	4.35211705842001e-48	CEP112	47.36129943198125	Down	True
ENSG00000185924.7	620.259509211727	-3.06977406253234	0.148193206155546	4.58962033709473e-96	7.23853246359434e-95	RTN4RL1	94.1403494735219	Down	True
ENSG00000115841.21	168.120516487576	-3.02016338723793	0.224524849990978	6.40158102147767e-42	4.25603941975349e-41	RMDN2	40.3709943582266	Down	True
ENSG00000177679.16	7.33404524264155	-2.99639478192488	1.1077011663882	0.0018101422410439	0.003298781381985	SRRM3	2.4816464652196126	Down	True
ENSG00000163818.20	677.193556241625	-2.99484739374111	0.113899307428376	5.11207106708161e-153	1.61925029294966e-151	LZTFL1	150.79068601570287	Down	True
ENSG00000213030.6	35.247707768887	-2.98306029055608	0.479784775231685	8.57196176914377e-11	2.47084431703292e-10	CGB8	9.607154617764063	Down	True
ENSG00000131378.14	270.003236487872	-2.98076554898074	0.158588052120682	1.48038295841779e-79	1.8352061882437998e-78	RFTN1	77.73631513501626	Down	True
ENSG00000161682.15	13.7071927356554	-2.96384910900302	0.769880644984599	2.67913010748442e-05	5.72396273481454e-05	FAM171A2	4.242303202326149	Down	True
ENSG00000203791.15	653.583920907446	-2.94398190457742	0.130074714953241	4.84147052288814e-114	9.65361168088784e-113	EEF1AKMT2	112.01531017477768	Down	True
ENSG00000153976.3	774.973308404106	-2.93949532633247	0.115790671570457	6.17798596893076e-143	1.73220048568378e-141	HS3ST3A1	140.76140184396579	Down	True
ENSG00000156398.13	372.658048627781	-2.89844312394773	0.142113022695081	4.10511517128898e-93	6.17425633477775e-92	SFXN2	91.20941534400382	Down	True
ENSG00000026025.16	29676.731339812	-2.894665124208	0.0682857022972401	0.0	1e-300	VIM	300.0	Down	True
ENSG00000283632.4	3.70952558360166	-2.88021433788904	1.53037493619923	0.0053531562799645	0.0092734959782054	EXOC3L2	2.0327565120451934	Down	True
ENSG00000078053.17	5.1243914914913	-2.8754860393985	1.17763809729943	0.0030365473291523	0.0054084406236671	AMPH	2.266927933813467	Down	True
ENSG00000198879.13	93.6513076631259	-2.86594526621831	0.274541098498081	3.2212888654089e-26	1.50470364916293e-25	SFMBT2	24.822549025788724	Down	True
ENSG00000197093.11	3.87938366674272	-2.85190514954177	1.53572856994004	0.0055479337593595	0.0095889743994531	GAL3ST4	2.018227840845722	Down	True
